HydroID,Cost,PA_50
1399,0.277818233,1
1400,0.481352944,1
1401,0.097875725,1
1402,0.08303562,0
1403,0.08303562,1
1404,0.08303562,0
1405,0.775740494,1
1406,0.08303562,0
1407,2.112413482,0
1408,0.08303562,1
1409,0.169582363,1
1410,0.08303562,0
1411,0.801236738,1
1412,0.08303562,1
1413,0.45762333,0
1414,0.175384072,1
1415,0.08303562,1
1416,0.08303562,1
1417,0.25759688,0
1418,0.08303562,1
1419,0.666962316,0
1420,0.08303562,1
1421,0.08303562,0
1422,1.15702411,0
1423,0.676885643,0
1424,0.08303562,1
1425,0.208794952,0
1426,0.08303562,1
1427,0.08303562,0
1428,0.08303562,0
1429,0.08303562,0
1430,0.08303562,0
1431,0.08303562,1
1432,0.850113776,0
1433,0.746960751,0
1434,0.08303562,0
1435,0.955389335,0
1436,0.08303562,0
1437,0.097049088,1
1438,0.207888643,0
1439,0.08303562,0
1440,0.08303562,1
1441,1.261882411,0
1442,0.088436688,1
1443,0.08303562,1
1444,0.090792603,1
1445,0.106057801,0
1446,0.08303562,1
1447,0.098463543,0
1448,0.370909469,1
1449,1.758757897,0
1450,0.716308428,0
1451,1.800952474,0
1452,1.370989682,0
1453,4.580084571,0
1454,0.569616128,0
1455,2.995022632,0
1456,0.600801425,1
1457,0.357617607,1
1458,1.578768898,0
1459,0.08303562,0
1460,1.949618013,1
1461,1.840732695,0
1462,1.472926876,0
1463,2.045581573,0
1464,0.630622737,0
1465,4.117131163,0
1466,14.87734282,0
1467,3.430267887,0
1468,0.834882575,0
1469,0.537213487,0
1470,0.545289817,0
1471,1.057029101,0
1472,0.716702679,0
1473,0.700135347,1
1474,0.767377947,0
1475,3.61649536,0
1476,0.08303562,0
1477,3.41313911,0
1478,0.763195149,0
1479,3.443003907,0
1480,1.060148307,0
1481,0.489828496,0
1482,0.811117064,0
1483,1.512080514,0
1484,2.098185689,0
1485,2.099105707,0
1486,1.672810046,0
1487,2.028518208,0
1488,0.96402841,0
1489,1.417396083,0
1490,2.470806364,0
1491,2.648477063,0
1493,1.071559944,0
1494,0.176925445,0
1495,1.01285757,0
1496,1.49723579,0
1497,1.535402401,0
1498,0.811984996,0
1499,0.733093083,0
1500,1.184305326,0
1501,0.252520982,0
1502,2.42597781,0
1503,4.563982421,0
1504,0.889658576,0
1505,1.159627526,0
1506,1.157337089,0
1507,2.157131782,0
1508,1.013052735,0
1509,1.075763089,0
1510,1.272338553,0
1511,0.972549752,0
1512,0.951929298,0
1513,1.264614214,0
1514,0.799121557,0
1515,1.346513909,0
1516,1.175910865,0
1517,0.898467491,0
1518,0.86164817,0
1519,0.77862135,0
1520,0.452959972,0
1521,1.046330087,0
1522,3.064279633,0
1523,4.69175954,0
1524,0.846936031,0
1525,0.852091535,0
1526,1.26090852,0
1527,1.363187896,0
1528,1.180967763,0
1529,1.037807841,0
1530,0.904117601,0
1533,1.398451597,0
1534,1.020964204,0
1535,0.499088368,0
1536,0.820480926,0
1537,1.235658942,0
1538,1.514524649,0
1539,2.08223024,0
1541,10.88081597,0
1542,2.370626822,0
1543,1.412800026,0
1545,2.349134348,0
1546,1.477889839,0
1547,2.352472227,0
1548,1.44631814,0
1549,2.688847483,0
1550,3.544490155,0
1551,1.568668159,0
1552,3.966864911,0
1553,5.190765738,0
1555,0.763864266,0
1556,3.360985515,0
1557,1.755583717,0
1558,3.990004734,0
1560,3.57674936,0
1561,2.559867455,0
1562,3.023994843,0
1563,3.251602963,0
1564,1.997455935,0
1565,2.974428455,0
1566,3.048033215,0
1567,1.052242798,0
1568,6.866249197,0
1569,1.630672045,0
1570,9.385181202,0
1576,2.101959895,0
1577,1.02941087,0
1578,4.886037689,0
1580,0.88529366,0
1581,1.374857632,0
1586,1.88836456,0
1589,0.920935062,0
1590,3.975327681,0
1591,1.027457182,0
1592,1.670438608,0
1593,2.277104573,0
1594,2.847809771,0
1595,2.589689272,0
1598,2.288391956,0
1599,2.151680718,0
1602,1.431632986,0
1603,1.04925371,0
1605,1.065006767,0
1608,1.298003085,0
1609,1.034741905,0
1210,0.543421225,1
1211,2.897327727,0
1212,0.108852427,1
1213,0.108852427,1
1214,0.108852427,1
1215,0.108852427,1
1216,0.108852427,1
1217,0.108852427,1
1218,0.108852427,1
1219,0.108852427,1
1220,0.108852427,1
1221,0.108852427,1
1222,0.547155586,1
1223,0.977141421,0
1224,1.23330852,0
1225,0.717442866,1
1227,0.995049934,0
1234,1.29357768,0
1237,0.970543401,0
1246,1.640003369,0
1251,2.949064562,0
1252,3.065079987,0
1254,1.111426538,0
1256,1.149502501,0
1258,4.230851088,0
1259,4.035763013,0
1266,3.56135886,0
1267,3.920871586,0
906,1.226201998,1
907,1.219950071,0
908,0.534364227,0
909,0.088150802,0
910,2.507368454,0
911,2.743662545,0
912,0.088029968,0
914,0.082885124,1
915,0.182061209,0
916,0.088029968,0
917,0.114612064,0
918,0.076620942,0
920,0.088029968,0
921,0.07923297,0
922,0.339931964,0
923,0.80377646,0
924,0.072973351,0
925,0.240862144,0
926,0.515519676,0
927,0.088029968,0
928,0.088029968,0
929,0.083440187,0
930,0.703765216,0
931,0.899503594,0
932,0.747767257,0
933,0.947668155,0
934,0.216130286,0
935,0.989064687,0
936,0.737972403,0
937,0.08931936,0
938,0.430967088,0
939,0.483475849,0
940,0.088029968,0
941,0.088029968,0
942,0.088029968,0
943,1.458447305,0
944,0.088029968,0
945,0.176098481,0
946,0.088029968,0
947,0.227354643,0
948,0.088029968,0
949,0.551209212,0
950,0.088029968,0
951,0.443208389,0
952,0.088029968,0
953,0.088029968,0
954,0.341016582,0
955,0.573864715,0
956,0.086953071,0
957,0.951433348,0
958,0.823402223,0
959,0.085346608,0
960,0.073021425,0
961,0.876837539,0
962,0.249761841,0
963,0.676032426,0
964,0.088029968,0
965,0.088029968,0
966,0.088029968,0
967,1.265129538,0
968,0.52611458,0
969,0.982797877,0
970,0.439685247,0
971,0.447597793,0
972,0.85022498,0
973,0.392837131,0
974,0.15932432,0
975,0.117689953,0
976,0.073443202,0
977,0.072973351,0
978,1.323188986,0
979,0.072973351,0
980,0.368210525,0
981,0.543682077,0
982,0.088029968,0
983,0.088029968,0
984,0.088029968,0
985,0.088029968,1
986,0.348388488,0
987,0.224797756,0
988,0.694837283,0
989,0.072973351,0
990,0.088029968,0
991,0.260253429,0
992,0.883278131,0
993,1.666588132,0
994,1.782501663,0
995,0.615377618,0
996,0.239264178,0
997,0.461993923,0
998,0.391636776,0
999,0.618716746,0
1000,0.711616261,0
1001,2.319924566,0
1002,0.523410214,0
1003,0.088029968,0
1004,0.83291884,0
1005,0.469261982,0
1006,0.088029968,0
1007,0.088029968,0
1008,0.48238472,0
1009,0.633761483,0
1010,4.22760283,0
1011,1.397955635,0
1012,0.784532132,0
1013,0.604985881,0
1014,0.733910836,0
1015,2.265767695,0
1016,0.785271748,0
1017,0.848919899,0
1018,2.016948416,0
1019,3.315883145,0
1020,1.525481889,0
